   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.500  -0.0261   0.00858   0.00265  -0.1033   0.7659   0.0877
  -4.000   0.0297   0.00839   0.00242  -0.1031   0.7449   0.1005
  -3.500   0.0852   0.00820   0.00222  -0.1029   0.7226   0.1176
  -3.000   0.1405   0.00806   0.00207  -0.1027   0.6994   0.1379
  -2.500   0.1957   0.00795   0.00195  -0.1025   0.6759   0.1621
  -2.000   0.2512   0.00786   0.00186  -0.1023   0.6525   0.1902
  -1.500   0.3063   0.00781   0.00181  -0.1021   0.6283   0.2236
  -1.000   0.3610   0.00777   0.00180  -0.1018   0.6051   0.2634
  -0.500   0.4162   0.00771   0.00181  -0.1016   0.5835   0.3115
   0.000   0.4710   0.00764   0.00184  -0.1014   0.5629   0.3748
   0.500   0.5243   0.00736   0.00192  -0.1010   0.5442   0.5189
   1.000   0.5771   0.00712   0.00205  -0.1005   0.5274   0.6698
   1.500   0.6282   0.00695   0.00222  -0.0993   0.5122   0.8068
   2.000   0.6752   0.00691   0.00243  -0.0969   0.4981   0.9359
   2.500   0.7474   0.00710   0.00259  -0.1002   0.4849   0.9883
   3.000   0.8219   0.00733   0.00276  -0.1044   0.4723   1.0000
   3.500   0.8694   0.00756   0.00291  -0.1026   0.4608   1.0000
   4.000   0.9192   0.00777   0.00307  -0.1014   0.4494   1.0000
   4.500   0.9704   0.00799   0.00326  -0.1005   0.4383   1.0000
   5.000   1.0212   0.00828   0.00348  -0.0995   0.4259   1.0000
   5.500   1.0722   0.00856   0.00372  -0.0986   0.4123   1.0000
   6.000   1.1236   0.00884   0.00397  -0.0978   0.3973   1.0000
   6.500   1.1734   0.00919   0.00427  -0.0968   0.3795   1.0000
   7.000   1.2218   0.00961   0.00462  -0.0955   0.3594   1.0000
   7.500   1.2692   0.01007   0.00501  -0.0941   0.3376   1.0000
   8.000   1.3128   0.01067   0.00550  -0.0921   0.3127   1.0000
   8.500   1.3533   0.01130   0.00605  -0.0895   0.2865   1.0000
   9.000   1.3896   0.01211   0.00673  -0.0863   0.2581   1.0000
   9.500   1.4233   0.01309   0.00758  -0.0828   0.2275   1.0000
  10.000   1.4538   0.01426   0.00859  -0.0791   0.1962   1.0000
  10.500   1.4810   0.01563   0.00982  -0.0750   0.1661   1.0000
  11.000   1.5053   0.01721   0.01127  -0.0709   0.1391   1.0000
  11.500   1.5271   0.01902   0.01297  -0.0667   0.1159   1.0000
  12.500   1.5661   0.02327   0.01712  -0.0592   0.0829   1.0000
  13.000   1.5827   0.02582   0.01966  -0.0557   0.0716   1.0000
  13.500   1.5971   0.02871   0.02257  -0.0526   0.0627   1.0000
  14.000   1.6098   0.03192   0.02582  -0.0499   0.0557   1.0000
  14.500   1.6211   0.03548   0.02945  -0.0475   0.0503   1.0000
  15.000   1.6291   0.03957   0.03362  -0.0455   0.0459   1.0000
  15.500   1.6316   0.04446   0.03859  -0.0438   0.0420   1.0000
  16.000   1.6374   0.04922   0.04348  -0.0427   0.0392   1.0000
  16.500   1.6341   0.05520   0.04956  -0.0418   0.0366   1.0000
  17.000   1.6346   0.06093   0.05544  -0.0414   0.0345   1.0000
  17.500   1.6250   0.06804   0.06267  -0.0414   0.0326   1.0000
  18.000   1.6201   0.07475   0.06953  -0.0417   0.0311   1.0000
  18.500   1.6106   0.08216   0.07709  -0.0424   0.0296   1.0000
  19.000   1.5926   0.09086   0.08592  -0.0436   0.0282   1.0000
  19.500   1.5841   0.09840   0.09363  -0.0449   0.0272   1.0000
  20.000   1.5734   0.10638   0.10176  -0.0467   0.0261   1.0000
  20.500   1.5577   0.11516   0.11068  -0.0491   0.0251   1.0000
  21.000   1.5386   0.12468   0.12035  -0.0522   0.0242   1.0000
  21.500   1.5319   0.13244   0.12827  -0.0551   0.0234   1.0000
  22.000   1.5231   0.14057   0.13654  -0.0585   0.0225   1.0000
  22.500   1.5103   0.14953   0.14562  -0.0628   0.0217   1.0000
  23.000   1.4948   0.15914   0.15536  -0.0679   0.0209   1.0000
  23.500   1.4910   0.16684   0.16321  -0.0724   0.0203   1.0000
  24.000   1.4858   0.17480   0.17131  -0.0773   0.0196   1.0000
  24.500   1.4798   0.18304   0.17967  -0.0828   0.0190   1.0000
